"g3_id","g1_race","g1_male","g2_male","g3_male","g1_age","g2_age","g3_age","g3_edu_highest","g2_edu_highest","g1_edu_highest","g3_edu_years","g2_edu_years","g1_edu_years","g3_house_value","g2_house_value","g1_house_value","g3_poor_srh","g2_poor_srh","g1_poor_srh","g1_weight","g3_house_value_quintile","g3_house_value_percentile","g2_house_value_quintile","g2_house_value_percentile","g1_house_value_quintile","g1_house_value_percentile","n","pweight_1","id","g1_white","g1_agesq","g1_edu_cat","g2_agesq","g2_edu_cat","g3_agesq","g3_edu_cat","hs_or_less"
6583041,"black",1,0,1,52.5,28.5,34,3,2,1,13.5,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583041,0,2756.25,"less_hs",812.25,"hs",1156,"some_college","less"
6583046,"black",1,0,0,52.5,28.5,29,2,2,1,12,12,3,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6583046,0,2756.25,"less_hs",812.25,"hs",841,"hs","less"
6583045,"black",1,0,0,52.5,26,31,3,1,1,13,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583045,0,2756.25,"less_hs",676,"less_hs",961,"some_college","less"
6583178,"black",1,0,0,52.5,26,34.5,3,1,1,13,11,3,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6583178,0,2756.25,"less_hs",676,"less_hs",1190.25,"some_college","less"
6583179,"black",1,0,1,52.5,26,33,2,1,1,12,11,3,94787.15,0,0,0,0,0,3,2,28,0,0,0,0,1,3,6583179,0,2756.25,"less_hs",676,"less_hs",1089,"hs","less"
6583042,"black",1,0,0,52.5,25.5,34,1,1,1,9,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583042,0,2756.25,"less_hs",650.25,"less_hs",1156,"less_hs","less"
6583043,"black",1,0,0,52.5,25.5,33,1,1,1,9,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583043,0,2756.25,"less_hs",650.25,"less_hs",1089,"less_hs","less"
6583044,"black",1,0,0,52.5,25.5,31,1,1,1,11,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583044,0,2756.25,"less_hs",650.25,"less_hs",961,"less_hs","less"
6589033,"black",0.5,0,1,46.5,26.5,34,4,3,1,16,13,5.5,4142.97,10855.2,0,0,0,0,3,1,1,1,5,0,0,1,3,6589033,0,2162.25,"less_hs",702.25,"some_college",1156,"college","less"
6589031,"black",0.5,0,0,46.5,26,35,3,2,1,14,12,5.5,2500,6832.95766666667,0,0,0,0,3,1,1,1,2,0,0,1,3,6589031,0,2162.25,"less_hs",676,"hs",1225,"some_college","less"
6589034,"black",0.5,0,1,46.5,26,31.5,3,2,1,12.5,12,5.5,4142.97,6832.95766666667,0,0,0,0,3,1,1,1,2,0,0,1,3,6589034,0,2162.25,"less_hs",676,"hs",992.25,"some_college","less"
6589032,"black",0.5,0,0,46.5,25,35,3,2,1,14,12,5.5,0,98781.85,0,0,0,0,3,0,0,3,55,0,0,1,3,6589032,0,2162.25,"less_hs",625,"hs",1225,"some_college","less"
6589035,"black",0.5,0,1,46.5,25,31,4,2,1,16,12,5.5,0,98781.85,0,0,0,0,3,0,0,3,55,0,0,1,3,6589035,0,2162.25,"less_hs",625,"hs",961,"college","less"
6590031,"black",0.5,1,0,30.75,31.5,40,2,2,1,12,10.3333333333333,8.5,0,56553.87,0,0,0,0,3,0,0,2,32,0,0,1,3,6590031,0,945.5625,"less_hs",992.25,"hs",1600,"hs","less"
6590034,"black",0.5,1,0,30.75,31.5,37,1,2,1,9,10.3333333333333,8.5,0,56553.87,0,0,0,0,3,0,0,2,32,0,0,1,3,6590034,0,945.5625,"less_hs",992.25,"hs",1369,"less_hs","less"
6590037,"black",0.5,1,1,30.75,31.5,33.5,3,2,1,14,10.3333333333333,8.5,38840.345,56553.87,0,1,0,0,3,1,8,2,32,0,0,1,3,6590037,0,945.5625,"less_hs",992.25,"hs",1122.25,"some_college","less"
6590032,"black",0.5,0,1,30.75,26,38.5,2,2,1,12,12,8.5,35625.495,21335.1133333333,0,0,0,0,3,1,8,1,14,0,0,1,3,6590032,0,945.5625,"less_hs",676,"hs",1482.25,"hs","less"
6590036,"black",0.5,0,1,30.75,26,34.5,2,2,1,12,12,8.5,18125.495,21335.1133333333,0,1,0,0,3,1,4,1,14,0,0,1,3,6590036,0,945.5625,"less_hs",676,"hs",1190.25,"hs","less"
6590038,"black",0.5,1,1,30.75,25.5,33,3,3,1,15,13,8.5,1e+05,0,0,0,0,0,3,2,30,0,0,0,0,1,3,6590038,0,945.5625,"less_hs",650.25,"some_college",1089,"some_college","less"
6590040,"black",0.5,1,1,30.75,25.5,30,2,3,1,12,13,8.5,20000,0,0,0,0,0,3,1,4,0,0,0,0,1,3,6590040,0,945.5625,"less_hs",650.25,"some_college",900,"hs","less"
6591031,"black",0.5,1,1,49.5,35.5,39.5,5,1,1,17,10,6.5,284646.55,26532.7115,47819.5893103448,0,0,0,3,4,77,1,16,1,24,1,3,6591031,0,2450.25,"less_hs",1260.25,"less_hs",1560.25,"higher","less"
6591032,"black",0.5,1,0,49.5,35.5,38,3,1,1,13,10,6.5,0,26532.7115,47819.5893103448,0,0,0,3,0,0,1,16,1,24,1,3,6591032,0,2450.25,"less_hs",1260.25,"less_hs",1444,"some_college","less"
6591033,"black",0.5,1,1,49.5,35.5,36,4,1,1,16,10,6.5,54304.205,26532.7115,47819.5893103448,1,0,0,3,1,13,1,16,1,24,1,3,6591033,0,2450.25,"less_hs",1260.25,"less_hs",1296,"college","less"
6591035,"black",0.5,1,1,49.5,33.8333333333333,30,5,3,1,17,13.6666666666667,6.5,96608.415,115561.533333333,47819.5893103448,0,0,0,3,2,29,3,62,1,24,1,3,6591035,0,2450.25,"less_hs",1144.69444444444,"some_college",900,"higher","less"
6591034,"black",0.5,0,1,49.5,29.5,32,2,3,1,12,13.1666666666667,6.5,0,21208.0933333333,47819.5893103448,0,0,0,3,0,0,1,14,1,24,1,3,6591034,0,2450.25,"less_hs",870.25,"some_college",1024,"hs","less"
6591171,"black",0.5,0,1,49.5,29.5,43,2,3,1,12,13.1666666666667,6.5,1900,21208.0933333333,47819.5893103448,1,0,0,3,1,1,1,14,1,24,1,3,6591171,0,2450.25,"less_hs",870.25,"some_college",1849,"hs","less"
6591176,"black",0.5,1,0,49.5,28.5,40.5,4,3,1,16,13.8333333333333,6.5,0,26189.818,47819.5893103448,0,0,0,3,0,0,1,16,1,24,1,3,6591176,0,2450.25,"less_hs",812.25,"some_college",1640.25,"college","less"
6602031,"black",0,1,1,25.5,27.5,32,2,1,1,12,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6602031,0,650.25,"less_hs",756.25,"less_hs",1024,"hs","less"
6602036,"black",0,1,1,25.5,26,29,3,2,1,13,12,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,6602036,0,650.25,"less_hs",676,"hs",841,"some_college","less"
6602181,"black",0,1,1,25.5,26,31.5,2,2,1,12,12,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,6602181,0,650.25,"less_hs",676,"hs",992.25,"hs","less"
6602032,"black",0,0,0,25.5,25,31,2,2,1,12,12,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6602032,0,650.25,"less_hs",625,"hs",961,"hs","less"
6605031,"black",0.5,1,1,46,29.5,34,2,2,1,12,12,9.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6605031,0,2116,"less_hs",870.25,"hs",1156,"hs","less"
6605184,"black",0.5,1,1,46,29.5,38.5,2,2,1,12,12,9.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6605184,0,2116,"less_hs",870.25,"hs",1482.25,"hs","less"
6605033,"black",0.5,1,0,46,27.5,29,3,1,1,14,9,9.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6605033,0,2116,"less_hs",756.25,"less_hs",841,"some_college","less"
