"YEAR","CASEID","SERIAL","REGION","STATEFIP","METRO","MSASIZE","COUNTY","METAREA","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","MONTH","AGE","SEX","RACE","HISPAN","ASIAN","MARST","YRIMMIG","CITIZEN","BPL","MBPL","FBPL","RELATE","EDUC","EDUCYRS","SCHLCOLL","EMPSTAT","MULTJOBS","CLWKR","OCC2","OCC","IND2","IND","RETIRED","FULLPART","UHRSWORKT","EARNWEEK","PAIDHOUR","HOURWAGE","HRSATRATE","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPNOT","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","KIDUND18","HH_NUMOWNKIDS","KIDUND13","KIDUND1","KID1TO2","KID3TO5","KID6TO12","KID13TO17","NONHHCHILD","NOSCCRSN1","SCC_ALL","SCC_OWN","SCC_HH","SCC_HHNHHOWN","DIFFANY","ECYEST","ECPRIOR","ECNUM","ECFREQ","COVIDTELEW","COVIDPAID","COVIDUNAW","COVIDLOOK","ACT_CARENHH","ACT_SOCIAL","ACT_SPORTS","ACT_WORK","adultcare","childcare","primary_childcare","routine_housework","employment","employment_di","remote_work","gender","college","age_youngestchild","race","married","education"
2021,20210101210295,21,3,37,3,2,37191,0,13,3,2,1,1,5,2,1,1,1,23,1,100,100,999,1,0,1,9900,9900,9900,10,21,112,1,1,0,4,111,650,140,1190,99,1,40,917.6,1,17.94,40,1,25,2,110,100,21,0,3,999,380.25,1,1,1,"No","No","Yes","No","No",0,99,95,95,95,95,1,99,0,99,99,1,99,1,99,0,40,0,570,0,0,0,0,"employed","employed","No","Man","No college degree",5,"Non-Hispanic White","married","HS diploma, no college"
2021,20210101210322,22,3,45,4,0,45000,0,16,4,1,1,1,17,3,1,1,1,17,1,100,100,999,6,0,1,9900,9900,9900,10,15,110,3,1,0,7,133,4210,231,7770,99,2,4,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,0,1,5,3,99,99,1,1,21,448,180,0,15,0,0,0,"employed","employed",NA,"Man","No college degree",17,"Non-Hispanic White","not married","Less than HS diploma"
2021,20210101210339,23,3,12,2,7,12011,5000,16,5,1,1,1,17,4,1,1,1,20,2,100,100,999,6,0,1,9900,9900,9900,10,30,214,5,4,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,0,466,120,0,0,0,0,0,"unemployed","unemployed",NA,"Woman","No college degree",17,"Non-Hispanic White","not married","Some college"
2021,20210101210340,24,3,12,1,4,12000,5960,13,5,1,1,1,11,4,1,1,1,18,2,110,100,999,6,0,1,9900,9900,9900,10,21,112,1,1,0,4,132,4055,271,8680,99,2,30,337.5,1,5.5,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,325,0,410,0,0,0,0,"employed","employed","No","Woman","No college degree",11,"Non-Hispanic Black","not married","HS diploma, no college"
2021,20210101210536,25,3,48,1,7,48439,1921,12,3,1,1,2,1,1,1,1,1,30,1,100,210,999,2,0,1,9900,20000,20000,10,31,214,1,1,1,4,180,7200,290,8770,99,1,57,880,1,18.25,40,3,999,99,9999,9999,999,99,99,999,99999.99,1,2,1,"No","Yes","Yes","No","No",0,99,120,120,120,120,1,99,0,99,99,1,99,1,99,0,40,0,300,0,375,0,0,"employed","employed","No","Man","No college degree",1,"Hispanic","married","Some college"
2021,20210101210537,26,4,6,2,6,6000,7360,15,2,1,0,0,999,2,1,1,1,66,1,100,100,999,1,2,4,15000,15000,15000,10,32,214,99,5,99,99,9999,99999,9999,99999,1,99,9999,99999.99,99,999.99,999,1,66,2,100,100,21,0,3,999,99999.98,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,0,585,120,0,0,0,0,50,"not in labor force","unemployed",NA,"Man","No college degree",NA,"Non-Hispanic White","married","Some college"
2021,20210101210549,27,2,26,4,0,26000,0,14,3,1,1,1,3,2,1,1,1,25,2,100,100,999,6,0,1,9900,9900,9900,10,30,213,5,1,0,4,140,4720,160,5090,99,2,30,309.25,1,12.37,25,1,22,1,100,100,40,1,1,40,1000,1,1,1,"No","No","Yes","No","No",0,4,0,0,0,0,1,99,0,99,99,1,99,1,99,0,230,0,0,0,0,0,210,"employed","employed","No","Woman","No college degree",3,"Non-Hispanic White","not married","Some college"
2021,20210101210572,28,2,29,2,6,29189,0,10,3,1,0,0,999,3,1,1,1,61,1,100,100,999,1,0,1,9900,9900,9900,10,30,213,99,1,0,4,200,9600,131,2980,99,1,48,750,1,29,999,1,55,2,100,100,30,0,3,999,99999.98,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,2,99,0,99,99,1,99,1,99,0,108,0,747,0,0,0,0,"employed","employed","No","Man","No college degree",NA,"Non-Hispanic White","married","Some college"
2021,20210101210576,29,2,27,2,6,27003,0,15,1,2,0,0,999,1,1,1,1,49,1,110,100,999,4,0,1,9900,9900,9900,10,30,214,1,1,1,6,110,440,120,770,99,1,80,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,0,1,1,2,1,99,1,99,0,405,120,464,0,0,0,150,"employed","employed","No","Man","No college degree",NA,"Non-Hispanic Black","not married","Some college"
2021,20210101210580,30,1,42,4,0,42107,0,16,4,1,1,1,16,3,1,1,1,64,1,100,220,999,1,0,1,9900,9900,9900,10,21,112,99,1,0,6,140,4700,160,4880,99,1,50,99999.99,99,999.99,999,1,50,2,100,100,40,1,1,40,99999.98,1,1,0,"No","No","No","No","Yes",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,90,285,220,0,90,0,0,10,"employed","employed","No","Man","No college degree",16,"Hispanic","married","HS diploma, no college"
2021,20210101210600,31,3,13,4,0,13000,0,11,2,1,0,0,999,2,1,1,1,65,2,100,100,999,1,0,1,9900,9900,9900,10,32,214,99,1,0,3,131,3870,300,9470,99,1,40,800,1,20,40,1,64,1,100,100,20,0,3,999,99999.98,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,725,0,0,0,0,0,15,"employed","employed","No","Woman","No college degree",NA,"Non-Hispanic White","married","Some college"
2021,20210101210610,32,3,12,2,6,12053,0,11,1,1,0,0,999,1,1,1,1,67,2,100,100,999,3,0,1,9900,9900,9900,10,21,112,99,5,99,99,9999,99999,9999,99999,1,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,1,1,1,1,99,99,1,1,15,520,60,0,15,0,0,90,"not in labor force","unemployed",NA,"Woman","No college degree",NA,"Non-Hispanic White","not married","HS diploma, no college"
2021,20210101210612,33,4,4,2,6,4013,0,15,2,1,0,0,999,2,1,1,1,53,2,120,100,999,1,0,1,9900,9900,9900,10,32,216,99,1,0,2,125,2360,300,9570,99,1,45,400,1,16,999,1,54,1,100,210,21,1,1,50,1500,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,1,99,6,1,99,1,99,120,258,0,0,0,0,0,61,"employed","employed","No","Woman","No college degree",NA,"American Indian, Alaskan Native","married","Some college"
2021,20210101210618,34,3,40,2,5,40000,0,9,1,1,0,0,999,1,1,1,1,85,2,100,100,999,3,2,4,15000,15000,15000,10,21,112,99,5,99,99,9999,99999,9999,99999,1,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,2,99,0,99,99,99,99,1,1,0,575,0,0,0,0,0,85,"not in labor force","unemployed",NA,"Woman","No college degree",NA,"Non-Hispanic White","not married","HS diploma, no college"
